DATAFLOW,FREQ,REF_AREA,ITEM,COVERAGE_GEO,COVERAGE_POP,SEASONAL_ADJUST,IND_TYPE,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_COMMENT,UNIT_MULT,BASE_PER,TIME_FORMAT,DECIMALS
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,IX,N,2008,78.75,A,,-2,2016-Q4,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,IX,N,2009,81.025,A,,-2,2016-Q4,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,IX,N,2010,86.9,A,,-2,2016-Q4,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,IX,N,2011,92.15,A,,-2,2016-Q4,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,IX,N,2012,96.225,A,,-2,2016-Q4,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,IX,N,2013,98.125,A,,-2,2016-Q4,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,IX,N,2014,98.825,A,,-2,2016-Q4,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,IX,N,2015,97.875,A,,-2,2016-Q4,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,IX,N,2016,97.875,A,,-2,2016-Q4,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,IX,N,2017,101.425,A,,-2,2016-Q4,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,RA,GY,2005,5.2,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,RA,GY,2006,3,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,RA,GY,2007,3.7,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,RA,GY,2008,10.5,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,RA,GY,2009,2.888888889,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,RA,GY,2010,7.250848504,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,RA,GY,2011,6.041426928,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,RA,GY,2012,4.422137819,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,RA,GY,2013,1.974538841,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,RA,GY,2014,0.713375796,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,RA,GY,2015,-0.961295219,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,RA,GY,2016,0,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,RA,GY,2017,3.627075351,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,RA,G1,2009,2.888888889,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,RA,G1,2010,7.250848504,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,RA,G1,2011,6.041426928,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,RA,G1,2012,4.422137819,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,RA,G1,2013,1.974538841,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,RA,G1,2014,0.713375796,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,AS,_T,_T,_T,N,RA,G1,2015,-0.961295219,A,,-2,,P1Y,1
